Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    value_loss           | 0.0647      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 166        |
|    ep_rew_mean          | 2.02       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 13         |
|    time_elapsed         | 273        |
|    total_timesteps      | 26624      |
| train/                  |            |
|    approx_kl            | 0.05345185 |
|    clip_fraction        | 0.431      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.51      |
|    explained_variance   | 0.604      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0704    |
|    value_loss           | 0.057      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 2.04        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 14          |
|    time_elapsed         | 294         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.054550093 |
|    clip_fraction        | 0.42        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.644       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0935     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0631     |
|    value_loss           | 0.0542      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 168         |
|    ep_rew_mean          | 2.1         |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 15          |
|    time_elapsed         | 316         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.051954035 |
|    clip_fraction        | 0.44        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.568       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0923     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0714     |
|    value_loss           | 0.0597      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 2.25        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 16          |
|    time_elapsed         | 336         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.063258275 |
|    clip_fraction        | 0.486       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.671       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.113      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0741     |
|    value_loss           | 0.0593      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 174       |
|    ep_rew_mean          | 2.51      |
| time/                   |           |
|    fps                  | 97        |
|    iterations           | 17        |
|    time_elapsed         | 358       |
|    total_timesteps      | 34816     |
| train/                  |           |
|    approx_kl            | 0.0523498 |
|    clip_fraction        | 0.462     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.41     |
|    explained_variance   | 0.74      |
|    learning_rate        | 0.0003    |
|    loss                 | -0.123    |
|    n_updates            | 160       |
|    policy_gradient_loss | -0.0735   |
|    value_loss           | 0.0634    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 2.61       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 18         |
|    time_elapsed         | 378        |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.05680673 |
|    clip_fraction        | 0.444      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.106     |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.0754    |
|    value_loss           | 0.0692     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 2.68       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 19         |
|    time_elapsed         | 398        |
|    total_timesteps      | 38912      |
| train/                  |            |
|    approx_kl            | 0.05687658 |
|    clip_fraction        | 0.446      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.37      |
|    explained_variance   | 0.805      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.128     |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0671    |
|    value_loss           | 0.0546     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 178        |
|    ep_rew_mean          | 2.64       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 20         |
|    time_elapsed         | 418        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.06043122 |
|    clip_fraction        | 0.475      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.39      |
|    explained_variance   | 0.737      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.13      |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0765    |
|    value_loss           | 0.0434     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 2.69        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 21          |
|    time_elapsed         | 439         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.055360757 |
|    clip_fraction        | 0.476       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.135      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.071      |
|    value_loss           | 0.0454      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 2.72        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 22          |
|    time_elapsed         | 461         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.061147816 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.754       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.143      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0796     |
|    value_loss           | 0.0515      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 174         |
|    ep_rew_mean          | 2.78        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 23          |
|    time_elapsed         | 482         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.062043343 |
|    clip_fraction        | 0.485       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.694       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.14       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0822     |
|    value_loss           | 0.0481      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 178        |
|    ep_rew_mean          | 2.87       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 24         |
|    time_elapsed         | 502        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.06104751 |
|    clip_fraction        | 0.471      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.753      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.135     |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.0749    |
|    value_loss           | 0.0528     |
----------------------------------------
Eval num_timesteps=50000, episode_reward=2.30 +/- 0.98
Episode length: 194.80 +/- 36.25
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 195        |
|    mean_reward          | 2.3        |
| time/                   |            |
|    total_timesteps      | 50000      |
| train/                  |            |
|    approx_kl            | 0.06702851 |
|    clip_fraction        | 0.514      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.43      |
|    explained_variance   | 0.662      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.136     |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0838    |
|    value_loss           | 0.0502     |
----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 179      |
|    ep_rew_mean     | 2.89     |
| time/              |          |
|    fps             | 96       |
|    iterations      | 25       |
|    time_elapsed    | 531      |
|    total_timesteps | 51200    |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 2.78       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 26         |
|    time_elapsed         | 553        |
|    total_timesteps      | 53248      |
| train/                  |            |
|    approx_kl            | 0.06484579 |
|    clip_fraction        | 0.483      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.138     |
|    n_updates            | 250        |
|    policy_gradient_loss | -0.0796    |
|    value_loss           | 0.0589     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 2.87       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 27         |
|    time_elapsed         | 572        |
|    total_timesteps      | 55296      |
| train/                  |            |
|    approx_kl            | 0.07342532 |
|    clip_fraction        | 0.485      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.42      |
|    explained_variance   | 0.759      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.109     |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0804    |
|    value_loss           | 0.045      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 2.97       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 28         |
|    time_elapsed         | 595        |
|    total_timesteps      | 57344      |
| train/                  |            |
|    approx_kl            | 0.07472733 |
|    clip_fraction        | 0.491      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.37      |
|    explained_variance   | 0.776      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 270        |
|    policy_gradient_loss | -0.0813    |
|    value_loss           | 0.0488     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.04        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 29          |
|    time_elapsed         | 616         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.070021346 |
|    clip_fraction        | 0.507       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.78        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.134      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0881     |
|    value_loss           | 0.0586      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 2.98       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 30         |
|    time_elapsed         | 640        |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.07916389 |
|    clip_fraction        | 0.535      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.139     |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0861    |
|    value_loss           | 0.054      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.03       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 31         |
|    time_elapsed         | 660        |
|    total_timesteps      | 63488      |
| train/                  |            |
|    approx_kl            | 0.06264472 |
|    clip_fraction        | 0.494      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.4       |
|    explained_variance   | 0.76       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.144     |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.078     |
|    value_loss           | 0.0498     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 2.94       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 32         |
|    time_elapsed         | 681        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.08089371 |
|    clip_fraction        | 0.539      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.42      |
|    explained_variance   | 0.77       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.131     |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0897    |
|    value_loss           | 0.0471     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 168         |
|    ep_rew_mean          | 2.99        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 33          |
|    time_elapsed         | 702         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.070639975 |
|    clip_fraction        | 0.527       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.691       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.117      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0811     |
|    value_loss           | 0.0668      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 2.94       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 34         |
|    time_elapsed         | 723        |
|    total_timesteps      | 69632      |
| train/                  |            |
|    approx_kl            | 0.06985462 |
|    clip_fraction        | 0.532      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.762      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.13      |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0833    |
|    value_loss           | 0.0649     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 2.93       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 35         |
|    time_elapsed         | 742        |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.08055675 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.4       |
|    explained_variance   | 0.747      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.132     |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0799    |
|    value_loss           | 0.0469     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 2.95       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 36         |
|    time_elapsed         | 763        |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.07956012 |
|    clip_fraction        | 0.556      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.74       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.134     |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.0918    |
|    value_loss           | 0.0481     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 2.98       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 37         |
|    time_elapsed         | 784        |
|    total_timesteps      | 75776      |
| train/                  |            |
|    approx_kl            | 0.08334867 |
|    clip_fraction        | 0.536      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.735      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.132     |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0901    |
|    value_loss           | 0.0555     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 3.1        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 38         |
|    time_elapsed         | 804        |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.09509756 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.33      |
|    explained_variance   | 0.722      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.15      |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.0963    |
|    value_loss           | 0.0498     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 178       |
|    ep_rew_mean          | 3.19      |
| time/                   |           |
|    fps                  | 96        |
|    iterations           | 39        |
|    time_elapsed         | 824       |
|    total_timesteps      | 79872     |
| train/                  |           |
|    approx_kl            | 0.0799322 |
|    clip_fraction        | 0.54      |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.33     |
|    explained_variance   | 0.726     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.125    |
|    n_updates            | 380       |
|    policy_gradient_loss | -0.0866   |
|    value_loss           | 0.0634    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.25       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 40         |
|    time_elapsed         | 844        |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.08800684 |
|    clip_fraction        | 0.531      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.759      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0846    |
|    value_loss           | 0.0626     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 3.28        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 41          |
|    time_elapsed         | 866         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.080412224 |
|    clip_fraction        | 0.544       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.733       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.136      |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0879     |
|    value_loss           | 0.0545      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 3.26        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 42          |
|    time_elapsed         | 886         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.086748846 |
|    clip_fraction        | 0.547       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.719       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.145      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0836     |
|    value_loss           | 0.0623      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 3.38        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 43          |
|    time_elapsed         | 906         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.087255865 |
|    clip_fraction        | 0.535       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.697       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.146      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0867     |
|    value_loss           | 0.0535      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.48       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 44         |
|    time_elapsed         | 926        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.08325577 |
|    clip_fraction        | 0.532      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.713      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.151     |
|    n_updates            | 430        |
|    policy_gradient_loss | -0.0901    |
|    value_loss           | 0.0644     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 180         |
|    ep_rew_mean          | 3.48        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 45          |
|    time_elapsed         | 946         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.085791364 |
|    clip_fraction        | 0.543       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.806       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.131      |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0891     |
|    value_loss           | 0.0511      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.47       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 46         |
|    time_elapsed         | 970        |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.09019133 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
